Person.ID,First.name,Last.name,Party,Constituency,PCON22CD,DisplayName,SocialistCampaignGroup,TribuneGroup,OneNation,TRG_Patron,ERG_Subscriber
10001,Diane,Abbott,Labour,Hackney North and Stoke Newington,E14000720,Diane ABBOTT (Hackney North and Stoke Newington),1,0,0,0,0
25034,Debbie,Abrahams,Labour,Oldham East and Saddleworth,E14000870,Debbie ABRAHAMS (Oldham East and Saddleworth),0,1,0,0,0
25661,Bim,Afolami,Conservative,Hitchin and Harpenden,E14000749,Bim AFOLAMI (Hitchin and Harpenden),0,0,1,1,1
11929,Adam,Afriyie,Conservative,Windsor,E14001042,Adam AFRIYIE (Windsor),0,0,0,0,0
25817,Nickie,Aiken,Conservative,Cities of London and Westminster,E14000639,Nickie AIKEN (Cities of London and Westminster),0,0,0,0,0
24904,Peter,Aldous,Conservative,Waveney,E14001022,Peter ALDOUS (Waveney),0,0,0,0,0
24958,Rushanara,Ali,Labour,Bethnal Green and Bow,E14000555,Rushanara ALI (Bethnal Green and Bow),0,1,0,0,0
25888,Tahir,Ali,Labour,"Birmingham, Hall Green",E14000562,"Tahir ALI (Birmingham, Hall Green)",1,0,0,0,0
25337,Lucy,Allan,Conservative,Telford,E14000989,Lucy ALLAN (Telford),0,0,0,0,0
25579,Rosena,Allin-Khan,Labour,Tooting,E14000998,Rosena ALLIN-KHAN (Tooting),0,1,0,0,0
25702,Mike,Amesbury,Labour,Weaver Vale,E14001024,Mike AMESBURY (Weaver Vale),0,0,0,0,0
25813,Fleur,Anderson,Labour,Putney,E14000887,Fleur ANDERSON (Putney),0,0,0,0,0
25894,Lee,Anderson,Conservative,Ashfield,E14000535,Lee ANDERSON (Ashfield),0,0,0,0,0
25818,Stuart,Anderson,Conservative,Wolverhampton South West,E14001051,Stuart ANDERSON (Wolverhampton South West),0,0,0,0,0
24864,Stuart,Andrew,Conservative,Pudsey,E14000886,Stuart ANDREW (Pudsey),0,0,0,1,0
25335,Caroline,Ansell,Conservative,Eastbourne,E14000684,Caroline ANSELL (Eastbourne),0,0,0,0,0
25634,Tonia,Antoniazzi,Labour,Gower,W07000046,Tonia ANTONIAZZI (Gower),0,0,0,0,0
25396,Edward,Argar,Conservative,Charnwood,E14000625,Edward ARGAR (Charnwood),0,0,0,0,0
25120,Jon,Ashworth,Labour,Leicester South,E14000783,Jon ASHWORTH (Leicester South),0,1,0,0,0
25810,Sarah,Atherton,Conservative,Wrexham,W07000044,Sarah ATHERTON (Wrexham),0,0,0,0,0
25424,Victoria,Atkins,Conservative,Louth and Horncastle,E14000798,Victoria ATKINS (Louth and Horncastle),0,0,0,1,0
25750,Gareth,Bacon,Conservative,Orpington,E14000872,Gareth BACON (Orpington),0,0,0,0,0
10707,Richard,Bacon,Conservative,South Norfolk,E14000941,Richard BACON (South Norfolk),0,0,0,0,0
25693,Kemi,Badenoch,Conservative,Saffron Walden,E14000910,Kemi BADENOCH (Saffron Walden),0,0,0,0,0
25814,Shaun,Bailey,Conservative,West Bromwich West,E14001030,Shaun BAILEY (West Bromwich West),0,0,0,0,0
25838,Siobhan,Baillie,Conservative,Stroud,E14000980,Siobhan BAILLIE (Stroud),0,0,0,0,0
25844,Duncan,Baker,Conservative,North Norfolk,E14000848,Duncan BAKER (North Norfolk),0,0,0,0,0
24786,Steven,Baker,Conservative,Wycombe,E14001056,Steven BAKER (Wycombe),0,0,0,0,1
24785,Harriett,Baldwin,Conservative,West Worcestershire,E14001035,Harriett BALDWIN (West Worcestershire),0,0,0,0,0
24916,Steve,Barclay,Conservative,North East Cambridgeshire,E14000842,Steve BARCLAY (North East Cambridgeshire),0,0,0,0,0
25409,Hannah,Bardell,Scottish National Party,Livingston,S14000044,Hannah BARDELL (Livingston),0,0,0,0,0
25819,Paula,Barker,Labour,"Liverpool, Wavertree",E14000795,"Paula BARKER (Liverpool, Wavertree)",1,0,0,0,0
10715,John,Baron,Conservative,Basildon and Billericay,E14000544,John BARON (Basildon and Billericay),0,0,0,0,0
25799,Simon,Baynes,Conservative,Clwyd South,W07000062,Simon BAYNES (Clwyd South),0,0,0,0,0
10031,Margaret,Beckett,Labour,Derby South,E14000663,Margaret BECKETT (Derby South),0,1,0,0,0
25726,Órfhlaith,Begley,Sinn Féin,West Tyrone,N06000018,ÓrfhlaithBEGLEY (West Tyrone),0,0,0,0,0
25914,Apsana,Begum,Labour,Poplar and Limehouse,E14000882,Apsana BEGUM (Poplar and Limehouse),1,0,0,0,0
25916,Aaron,Bell,Conservative,Newcastle-under-Lyme,E14000834,Aaron BELL (Newcastle-under-Lyme),0,0,0,0,0
10669,Hilary,Benn,Labour,Leeds Central,E14000777,Hilary BENN (Leeds Central),0,0,0,0,0
