"parlparseid","parlparsememberid","firstname","lastname","party","MP position","Constituency position"
"uk.org.publicwhip/person/10001","uk.org.publicwhip/member/40289","Diane","Abbott","lab",-0.533289576893225,-1.23033323905362
"uk.org.publicwhip/person/10005","uk.org.publicwhip/member/40185","Bob","Ainsworth","lab",-0.525173298440096,-0.661547812164868
"uk.org.publicwhip/person/10008","uk.org.publicwhip/member/40461","Graham","Allen","lab",-0.906682710170652,-0.51141100998584
"uk.org.publicwhip/person/10009","uk.org.publicwhip/member/40565","David","Amess","con",1.1247931234238,1.40037851342426
"uk.org.publicwhip/person/10013","uk.org.publicwhip/member/40439","James","Arbuthnot","con",1.36127386470483,2.03148251002469
"uk.org.publicwhip/person/10023","uk.org.publicwhip/member/40053","Tony","Baldry","con",0.937766296880525,1.43086093986362
"uk.org.publicwhip/person/10027","uk.org.publicwhip/member/40508","Kevin","Barron","lab",-0.803079434842216,-0.243770772736638
"uk.org.publicwhip/person/10029","uk.org.publicwhip/member/40682","Hugh","Bayley","lab",-0.584938472008263,-0.975103527800325
"uk.org.publicwhip/person/10031","uk.org.publicwhip/member/40202","Margaret","Beckett","lab",NA,0.0887703413887273
"uk.org.publicwhip/person/10032","uk.org.publicwhip/member/40037","Anne","Begg","lab",-0.676227053114607,-0.312633127485345
"uk.org.publicwhip/person/10034","uk.org.publicwhip/member/40073","Alan","Beith","lib",0.519078292886718,0.152691669018491
"uk.org.publicwhip/person/10039","uk.org.publicwhip/member/40102","Joe","Benton","lab",-0.977814462523439,-1.65061549958985
"uk.org.publicwhip/person/10041","uk.org.publicwhip/member/40406","Paul","Beresford","con",1.08375182707317,1.68671164262624
"uk.org.publicwhip/person/10045","uk.org.publicwhip/member/40526","Clive","Betts","lab",-0.828280723180817,-0.661161799880963
"uk.org.publicwhip/person/10048","uk.org.publicwhip/member/40517","Hazel","Blears","lab",-0.645309768040159,-0.698666338223367
"uk.org.publicwhip/person/10050","uk.org.publicwhip/member/40527","David","Blunkett","lab",-0.757380495235222,-0.919226955231441
"uk.org.publicwhip/person/10057","uk.org.publicwhip/member/40674","Peter","Bottomley","con",0.78303369692012,1.65253095385187
"uk.org.publicwhip/person/10062","uk.org.publicwhip/member/40041","Graham","Brady","con",1.30383002500491,1.16521722928215
"uk.org.publicwhip/person/10063","uk.org.publicwhip/member/40152","Tom","Brake","lib",0.501636942309678,1.0779450562081
"uk.org.publicwhip/person/10065","uk.org.publicwhip/member/40144","Julian","Brazier","con",1.34008502349918,0.218186144961624
"uk.org.publicwhip/person/10069","uk.org.publicwhip/member/40420","Nick","Brown","lab",-1.00966581766551,-1.53505593114894
"uk.org.publicwhip/person/10070","uk.org.publicwhip/member/40213","Russell","Brown","lab",-0.698623907499629,-0.494790940577436
"uk.org.publicwhip/person/10074","uk.org.publicwhip/member/40280","Malcolm","Bruce","lib",0.424058901435538,-0.201469631279038
"uk.org.publicwhip/person/10075","uk.org.publicwhip/member/40655","Karen","Buck","lab",-0.770388523698151,0.384041087293164
"uk.org.publicwhip/person/10076","uk.org.publicwhip/member/40085","Richard","Burden","lab",-1.07612623825419,-0.192259460728074
"uk.org.publicwhip/person/10086","uk.org.publicwhip/member/40619","Alan","Campbell","lab",-0.271716923637398,-0.075201998442369
"uk.org.publicwhip/person/10088","uk.org.publicwhip/member/40438","Menzies","Campbell","lib",0.399727996826942,-0.677640400964567
"uk.org.publicwhip/person/10089","uk.org.publicwhip/member/40096","Ronnie","Campbell","lab",-1.19652123197477,-0.790319425193739
